厨,0x53a8
厩,0x53a9
厮,0x53ae
去,0x53bb
县,0x53bf
叁,0x53c1
参,0x53c2
又,0x53c8
叉,0x53c9
及,0x53ca
友,0x53cb
双,0x53cc
反,0x53cd
发,0x53d1
叔,0x53d4
取,0x53d6
受,0x53d7
变,0x53d8
叙,0x53d9
叛,0x53db
叟,0x53df
叠,0x53e0
口,0x53e3
古,0x53e4
句,0x53e5
另,0x53e6
叨,0x53e8
叩,0x53e9
只,0x53ea
叫,0x53eb
召,0x53ec
叭,0x53ed
叮,0x53ee
可,0x53ef
台,0x53f0
叱,0x53f1
史,0x53f2
右,0x53f3
叵,0x53f5
叶,0x53f6
号,0x53f7
司,0x53f8
叹,0x53f9
叻,0x53fb
叼,0x53fc
叽,0x53fd
吁,0x5401
吃,0x5403
各,0x5404
吆,0x5406
合,0x5408
吉,0x5409
吊,0x540a
同,0x540c
名,0x540d
后,0x540e
吏,0x540f
吐,0x5410
向,0x5411
吒,0x5412
吓,0x5413
吕,0x5415
吗,0x5417
君,0x541b
吝,0x541d
吞,0x541e
吟,0x541f
吠,0x5420
吡,0x5421
否,0x5426
吧,0x5427
吨,0x5428
吩,0x5429
含,0x542b
听,0x542c
吭,0x542d
吮,0x542e
启,0x542f
吱,0x5431
吴,0x5434
吵,0x5435
吸,0x5438
吹,0x5439
吻,0x543b
吼,0x543c
吾,0x543e
呀,0x5440
呃,0x5443
呆,0x5446
呈,0x5448
告,0x544a
呐,0x5450
呓,0x5453
呕,0x5455
呖,0x5456
呗,0x5457
员,0x5458
呛,0x545b
呜,0x545c
呢,0x5462
呤,0x5464
周,0x5468
呱,0x5471
呲,0x5472
味,0x5473
呵,0x5475
呶,0x5476
呷,0x5477
呸,0x5478
呻,0x547b
呼,0x547c
命,0x547d
咀,0x5480
咂,0x5482
咄,0x5484
咆,0x5486
咋,0x548b
和,0x548c
咎,0x548e
咏,0x548f
咐,0x5490
咒,0x5492
咔,0x5494
咕,0x5495
咖,0x5496
咙,0x5499
咚,0x549a
咛,0x549b
咝,0x549d
咣,0x54a3
咤,0x54a4
咦,0x54a6
咧,0x54a7
咨,0x54a8
咪,0x54aa
咫,0x54ab
咬,0x54ac
咯,0x54af
咱,0x54b1
咳,0x54b3
咵,0x54b5
咸,0x54b8
咻,0x54bb
咽,0x54bd
咿,0x54bf
哀,0x54c0
品,0x54c1
哄,0x54c4
哆,0x54c6
哇,0x54c7
哈,0x54c8
哉,0x54c9
响,0x54cd
哎,0x54ce
哏,0x54cf
哐,0x54d0
哑,0x54d1
哓,0x54d3
哔,0x54d4
哗,0x54d7
哙,0x54d9
哚,0x54da
哝,0x54dd
哟,0x54df
員,0x54e1
哥,0x54e5
哦,0x54e6
哧,0x54e7
哨,0x54e8
哩,0x54e9
哪,0x54ea
哭,0x54ed
哮,0x54ee
哲,0x54f2
哺,0x54fa
哼,0x54fc
哽,0x54fd
唁,0x5501
唆,0x5506
唇,0x5507
唉,0x5509
唏,0x550f
唐,0x5510
唑,0x5511
唔,0x5514
唛,0x551b
唠,0x5520
唢,0x5522
唤,0x5524
唧,0x5527
唬,0x552c
售,0x552e
唯,0x552f
唰,0x5530
唱,0x5531
唳,0x5533
唷,0x5537
唾,0x553e
唿,0x553f
啃,0x5543
啄,0x5544
商,0x5546
啉,0x5549
啊,0x554a
啐,0x5550
啕,0x5555
啖,0x5556
啜,0x555c
啡,0x5561
啤,0x5564
啥,0x5565
啦,0x5566
啧,0x5567
啪,0x556a
啮,0x556e
啵,0x5575
啶,0x5576
啷,0x5577
啸,0x5578
啻,0x557b
啼,0x557c
啾,0x557e
喀,0x5580
喂,0x5582
喃,0x5583
善,0x5584
喇,0x5587
喉,0x5589
喊,0x558a
喋,0x558b
喏,0x558f
喑,0x5591
喔,0x5594
喘,0x5598
喙,0x5599
喜,0x559c
喝,0x559d
喟,0x559f
喧,0x55a7
喱,0x55b1
喳,0x55b3
喵,0x55b5
喷,0x55b7
喹,0x55b9
喻,0x55bb
喽,0x55bd
嗄,0x55c4
嗅,0x55c5
嗑,0x55d1
嗓,0x55d3
嗔,0x55d4
嗖,0x55d6
嗜,0x55dc
嗝,0x55dd
嗟,0x55df
嗡,0x55e1
嗣,0x55e3
嗤,0x55e4
嗥,0x55e5
嗦,0x55e6
嗨,0x55e8
嗪,0x55ea
嗬,0x55ec
嗲,0x55f2
嗳,0x55f3
嗵,0x55f5
嗷,0x55f7
嗽,0x55fd
嘀,0x5600
嘁,0x5601
嘈,0x5608
嘉,0x5609
嘎,0x560e
嘘,0x5618
嘛,0x561b
嘞,0x561e
嘟,0x561f
嘣,0x5623
嘧,0x5627
嘬,0x562c
嘭,0x562d
嘱,0x5631
嘲,0x5632
嘴,0x5634
嘶,0x5636
嘹,0x5639
嘻,0x563b
嘿,0x563f
噌,0x564c
噍,0x564d
噎,0x564e
噔,0x5654
噗,0x5657
噙,0x5659
噜,0x565c
噢,0x5662
噤,0x5664
器,0x5668
噩,0x5669
噪,0x566a
噫,0x566b
噬,0x566c
噱,0x5671
噶,0x5676
噻,0x567b
噼,0x567c
嚎,0x568e
嚏,0x568f
嚓,0x5693
嚣,0x56a3
嚯,0x56af
嚷,0x56b7
嚼,0x56bc
囊,0x56ca
囔,0x56d4
囗,0x56d7
囚,0x56da
四,0x56db
囝,0x56dd
回,0x56de
因,0x56e0
囡,0x56e1
团,0x56e2
囤,0x56e4
囧,0x56e7
囫,0x56eb
园,0x56ed
囯,0x56ef
困,0x56f0
囱,0x56f1
围,0x56f4
囵,0x56f5
囹,0x56f9
固,0x56fa
国,0x56fd
图,0x56fe
囿,0x56ff
圃,0x5703
圄,0x5704
圆,0x5706
圈,0x5708
圜,0x571c
土,0x571f
圣,0x5723
在,0x5728
圩,0x5729
圪,0x572a
圭,0x572d
地,0x5730
圳,0x5733
圹,0x5739
场,0x573a
圻,0x573b
圾,0x573e
址,0x5740
坂,0x5742
均,0x5747
坊,0x574a
坍,0x574d
坎,0x574e
坏,0x574f
坐,0x5750
坑,0x5751
块,0x5757
坚,0x575a
坛,0x575b
坜,0x575c
坝,0x575d
坞,0x575e
坟,0x575f
坠,0x5760
坡,0x5761
坤,0x5764
坦,0x5766
坨,0x5768
坪,0x576a
坯,0x576f
坳,0x5773
坷,0x5777
垂,0x5782
垃,0x5783
垄,0x5784
垅,0x5785
型,0x578b
垌,0x578c
垒,0x5792
垓,0x5793
垛,0x579b
垠,0x57a0
垢,0x57a2
垣,0x57a3
垦,0x57a6
垩,0x57a9
垫,0x57ab
垭,0x57ad
垮,0x57ae
垴,0x57b4
垸,0x57b8
埂,0x57c2
埃,0x57c3
埋,0x57cb
城,0x57ce
埔,0x57d4
埕,0x57d5
域,0x57df
埠,0x57e0
埤,0x57e4
埭,0x57ed
埯,0x57ef
埸,0x57f8
培,0x57f9
基,0x57fa
堀,0x5800
堂,0x5802
堃,0x5803
堆,0x5806
堇,0x5807
堑,0x5811
堕,0x5815
堞,0x581e
堠,0x5820
堡,0x5821
堤,0x5824
堪,0x582a
堰,0x5830
場,0x5834
堵,0x5835
塌,0x584c
塍,0x584d
塑,0x5851
塔,0x5854
塘,0x5858
塞,0x585e
填,0x586b
塬,0x586c
塾,0x587e
墀,0x5880
境,0x5883
墅,0x5885
墉,0x5889
墒,0x5892
墓,0x5893
墙,0x5899
增,0x589e
墟,0x589f
墨,0x58a8
墩,0x58a9
壁,0x58c1
壑,0x58d1
壕,0x58d5
壤,0x58e4
士,0x58eb
壬,0x58ec
壮,0x58ee
声,0x58f0
壳,0x58f3
壶,0x58f6
壹,0x58f9
处,0x5904
备,0x5907
复,0x590d
夏,0x590f
夔,0x5914
夕,0x5915
外,0x5916
夙,0x5919
多,0x591a
夜,0x591c
够,0x591f
夥,0x5925
大,0x5927
